category_id	mpn                              	name                                                                  	available	price	
          2	Fujitsu B23T-6                   	Fujitsu B23T-6/23"/A-/White                                           	       10	 23.0	
          2	Fujitsu B23T-6                   	Fujitsu B23T-6/23"/B/White                                            	        4	 20.0	
          2	Fujitsu B24-8T                   	Fujitsu B24-8T/24"/A/Black                                            	        1	 38.0	
          2	Fujitsu B24-8T                   	Fujitsu B24-8T/24"/A/White                                            	        2	 38.0	
          2	Fujitsu B24-8T                   	Fujitsu B24-8T/24"/A-/White                                           	        1	 36.0	
          2	Fujitsu B24T-7                   	Fujitsu B24T-7/24"/C/Black                                            	        1	 19.0	
          2	Fujitsu DY24W-7                  	Fujitsu DY24W-7/24"/B-/Black                                          	        1	 33.6	
          2	Fujitsu L22T-3                   	Fujitsu L22T-3/21.5"/B/Black                                          	        1	 17.6	
          2	Fujitsu P23T-6                   	Fujitsu P23T-6/23"/A/White                                            	       14	 25.0	
          2	Fujitsu P23T-6                   	Fujitsu P23T-6/23"/A-/White                                           	       22	 23.0	
          2	Fujitsu P23T-6                   	Fujitsu P23T-6/23"/B/White                                            	        8	 20.0	
          2	Fujitsu P23T-6                   	Fujitsu P23T-6/23"/None/White                                         	        1	 25.0	
          2	Fujitsu P27T-6                   	Fujitsu P27T-6/27"/A/White                                            	        2	 58.0	
          2	Fujitsu P27T-6                   	Fujitsu P27T-6/27"/A-/White                                           	        1	 56.0	
          2	Fujitsu P27T-7                   	Fujitsu P27T-7/27"/A/White                                            	        6	 60.0	
          2	Fujitsu P27T-7                   	Fujitsu P27T-7/27"/A-/White                                           	       11	 58.0	
          2	Fujitsu P27T-7                   	Fujitsu P27T-7/27"/B/White                                            	        1	 48.0	
          2	Hannspree HE247D                 	Hannspree HE247D/24"/A/Black                                          	        1	 30.0	
          2	Hannspree HE247D                 	Hannspree HE247D/24"/C/Black                                          	        1	 15.0	
          2	Hannspree HE247DPB               	Hannspree HE247DPB/24"/A-/Black                                       	        3	 28.0	
          2	Hannspree HE247DPB               	Hannspree HE247DPB/24"/A/Black                                        	        1	 30.0	
          2	Hannspree HE247DPB               	Hannspree HE247DPB/24"/B/Black                                        	        1	 24.0	
          2	HP 2159V                         	HP 2159V/21.5"/A/Black                                                	        2	 20.0	
          2	HP E202                          	HP E202/20"/B-/Black                                                  	        2	 12.6	
          2	HP E231                          	HP E231/23"/A-/Black                                                  	        1	 24.0	
          2	HP E231                          	HP E231/23"/None/Black                                                	        1	 26.0	
          2	HP E231                          	HP E231/23"/B/Black                                                   	       11	 20.8	
          2	HP E233                          	HP E233/23"/B/Silver/Black                                            	        3	 25.6	
          2	HP E233                          	HP E233/23"/B-/Silver/Black                                           	        1	 22.4	
          2	HP E23i                          	HP E23i/23"/A-/Black                                                  	        1	 24.0	
