   id	category_id	code	barcode	mpn                 	name                                    	    price	image                                   	feature                                 	vendor          	available	descr	
 4476	       2291	None	None   	ASA5540-UC-BUN-K9   	ASA5540-UC-BUN-K9                       	  6148.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4473	       2315	None	None   	N7K-M148GT-11       	N7K-M148GT-11                           	  1413.09	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4471	       2315	None	None   	N7K-M132XP-12       	N7K-M132XP-12 Комутатор Cisco Nexus 7...	  3251.94	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4470	       2315	None	None   	N7K-AC-6.0KW        	N7K-AC-6.0KW                            	   422.94	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4467	       2315	None	None   	N7K-C7010           	N7K-C7010                               	  2261.79	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4466	       2315	None	None   	N5K-C5020P-BF       	N5K-C5020P-BF                           	  2261.79	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4453	          3	None	None   	CISCO887VA-K9       	CISCO887VA-K9                           	   140.04	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '2,50', 'Виробник': 'Ci...	CISCO           	        1	None 	
 4451	       2315	None	None   	C3K-PWR-1150WAC     	C3K-PWR-1150WAC  Блок живлення Cisco ...	   306.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4450	       1141	None	None   	CP-6921-C-K9        	CP-6921-C-K9                            	   183.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4449	          3	None	None   	MEM-3900-1GB        	MEM-3900-1GB                            	   490.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	3RD PARTY       	        1	None 	
 4448	       1142	None	None   	UC520-24U-4BRI-K9   	CISCO UC520-24U-4BRI-K9                 	   2583.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4440	          3	None	None   	CISCO888-SEC-K9 NEW 	CISCO888-SEC-K9                         	   564.39	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '2,50', 'Виробник': 'Ci...	CISCO           	        1	None 	
 4439	       1141	None	None   	CP-9951-CL-K9       	CP-9951-CL-K9                           	   355.47	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4434	          6	None	None   	AIR-AP1252G-E-K9    	AIR-AP1252G-E-K9                        	    762.6	['https://sklep.comel-it.com/data/gfx...	{'MIMO 2.4 ГГц': '2x3:2', 'Standard I...	CISCO           	        1	None 	
 4430	          3	None	None   	PA-POS-OC3MM        	PA-POS-OC3MM                            	   574.29	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4429	          3	None	None   	PA-A3-OC3SML        	PA-A3-OC3SML                            	   748.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4425	       1141	None	None   	CP-9951-C-CAM-K9    	CP-9951-C-CAM-K9                        	   982.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4422	          3	None	None   	C2901-CME-SRST/K9   	C2901-CME-SRST/K9                       	  1413.09	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '6,10', 'Виробник': 'Ci...	CISCO           	        1	None 	
 4421	       2315	None	None   	RCKMNT-19-CMPCT     	RCKMNT-19-CMPCT кріплення для 2960C 2...	   183.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4419	       1141	None	None   	CP-7937-PWR-SPL     	CP-7937-PWR-SPL                         	   490.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4418	          6	None	None   	3G-ANTM-OUT-LP      	3G-ANTM-OUT-LP                          	   539.97	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4417	          3	None	None   	CISCO3945E/K9       	CISCO3945E/K9                           	  2704.77	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '27,20', 'Виробник': 'C...	CISCO           	        1	None 	
 4416	          2	None	None   	SFP-10G-SR          	SFP-10G-SR CISCO                        	    492.0	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'Cisco', 'Довжина хвилі ...	CISCO           	        1	None 	
 4413	       1141	None	None   	CP-MCHGR-7921G      	CP-MCHGR-7921G                          	  1671.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4412	         10	None	None   	FCFC-SM-10M         	FCFC-SM-10M                             	    50.47	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'FC-FC', 'Вид патч-...	CML             	        1	None 	
 4409	          2	None	None   	SFP-H10GB-CU5M      	SFP-H10GB-CU5M                          	    299.0	['https://sklep.comel-it.com/data/gfx...	{'Вид кабелю': 'Пасивний', 'Виробник'...	CISCO           	        1	None 	
 4405	       2315	None	None   	WS-C2960C-8TC-S     	WS-C2960C-8TC-S Комутатор Cisco Catal...	   781.05	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9018', 'MTBF': '5169...	CISCO           	        1	None 	
 4400	       2315	None	None   	WS-C4503-E          	WS-C4503-E Комутатор Cisco Catalyst 4...	   490.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4398	       1142	None	None   	UC540W-FXO-K9       	CISCO UC540W-FXO-K9                     	  4918.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4397	       1142	None	None   	UC320W-FXO-K9       	CISCO UC320W-FXO-K9                     	   2029.5	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4396	          2	None	None   	GLC-GE-100FX CML    	GLC-GE-100FX                            	   232.47	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'Cisco', 'Довжина хвилі ...	CML             	        1	None 	
 4395	       2315	None	None   	WS-SUP32-GE-3B      	WS-SUP32-GE-3B Cisco Supervisor Catal...	   576.87	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4380	       2315	None	None   	EX4200-24P          	EX4200-24P                              	  1228.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
 4379	       2315	None	None   	EX4200-24T          	EX4200-24T                              	    725.7	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
 4365	       2315	None	None   	EX2200-24P-4G       	EX2200-24P-4G                           	  2212.77	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'Unicast MAC ...	JUNIPER         	        1	None 	
 4361	          3	None	None   	NM-HDV-2E1-60       	NM-HDV-2E1-60                           	  2686.14	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4360	          2	None	None   	DS-SFP-FC-2G-SW     	DS-SFP-FC-2G-SW                         	      4.5	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'Cisco', 'Довжина хвилі ...	CISCO           	        1	None 	
 4358	          6	None	None   	AIR-CT5508-25-K9    	AIR-CT5508-25-K9                        	   1500.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4357	       2315	None	None   	ME-3400-24FS-A      	ME-3400-24FS-A                          	  2249.06	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9000', 'MTBF': '3960...	CISCO           	        1	None 	
 4329	       2315	None	None   	WS-X4624-SFP-E      	WS-X4624-SFP-E Модуль Cisco Catalyst ...	  2458.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4327	          3	None	None   	CISCO887V-K9        	CISCO887V-K9                            	   937.81	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '2,50', 'Виробник': 'Ci...	CISCO           	        1	None 	
 4323	       2315	None	None   	C3KX-PWR-350WAC     	C3KX-PWR-350WAC Блок живлення Cisco д...	   281.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4318	       2315	None	None   	WS-X4920-GB-RJ45    	WS-X4920-GB-RJ45 Модуль Cisco - 20 По...	    499.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
